status,nodeid
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_concurrent_fulfill_consumes_reservation_once_and_writes_one_movement
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_fulfillment_consumes_only_this_order_reservation_and_deducts_on_hand
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_reserve_release_and_consume_movement_boundaries
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_return_restores_on_hand_without_creating_reservation
failed,tests/business/test_s4f_business_invariant_closeout.py::test_cancel_confirmed_releases_reservation_and_paid_or_fulfilled_cancel_is_rejected
failed,tests/business/test_s4f_business_invariant_closeout.py::test_fulfill_consumes_owned_reservation_writes_movement_and_duplicate_is_stable
failed,tests/business/test_s4f_business_invariant_closeout.py::test_pay_preserves_inventory_reservation_and_existing_phase5_ledger_semantics
failed,tests/business/test_s4f_business_invariant_closeout.py::test_return_restores_on_hand_without_re_reserving_and_duplicate_is_stable
failed,tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email
failed,tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally
failed,tests/test_dc3b_credential_recovery_backend.py::test_login_succeeds_after_reset_with_multiple_copies
failed,tests/test_dc3b_credential_recovery_backend.py::test_no_internal_ids_tokens_hashes_in_public_responses
failed,tests/test_dc3b_credential_recovery_backend.py::test_query_string_token_rejected
failed,tests/test_dc3b_credential_recovery_backend.py::test_r1_after_reset_both_copies_login_and_select
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_token_stored_hash_only_raw_never_persisted
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_updates_both_tenant_copies
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_with_valid_token_updates_password
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_audit_columns
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_explicit_tablename
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_uuid_primary_key
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_created_at_not_null
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_check_constraint
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_price
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_retailer_id
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_retailer_id_index
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_sku_id
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_sku_id_index
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_unique_constraint
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_is_deleted_not_null
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_price_not_null
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_retailer_id_not_null
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_sku_id_not_null
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_updated_at_not_null
failed,tests/test_platform_p17dc_backup_migration.py::test_additions_only_from_base_to_head
failed,tests/test_platform_p17dc_backup_migration.py::test_base_revision_is_020_before_upgrade
failed,tests/test_platform_p17dc_backup_migration.py::test_check_constraints_enforce_honesty
failed,tests/test_platform_p17dc_backup_migration.py::test_downgrade_drops_only_p17dc_objects
failed,tests/test_platform_p17dc_backup_migration.py::test_latest_completed_excludes_in_progress
failed,tests/test_platform_p17dc_backup_migration.py::test_no_backup_objects_in_tenant_schemas
failed,tests/test_platform_p17dc_backup_migration.py::test_policy_uniqueness
failed,tests/test_platform_p17dc_backup_migration.py::test_reupgrade_recreates_tables
failed,tests/test_platform_p17dc_backup_migration.py::test_upgrade_does_not_create_tenant_schema
failed,tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_fresh_success_attached_to_registry
failed,tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_tenant_specific_wins_over_platform_at_registry
failed,tests/test_platform_p21_durable_approval_adapter_skeleton.py::test_no_new_alembic_migration_chained_on_020
failed,tests/test_platform_p21_durable_approval_migration.py::test_additions_only_from_base_to_head
failed,tests/test_platform_p21_durable_approval_migration.py::test_base_revision_is_019_before_upgrade
failed,tests/test_platform_p21_durable_approval_migration.py::test_downgrade_drops_only_p21_objects
failed,tests/test_platform_p21_durable_approval_migration.py::test_no_durable_objects_in_tenant_schemas
failed,tests/test_platform_p21_durable_approval_migration.py::test_reupgrade_recreates_tables
failed,tests/test_platform_p21_durable_approval_migration.py::test_upgrade_does_not_create_tenant_schema
failed,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveTenantSchemaBootstrapped::test_all_required_tables_present
failed,tests/test_s3c_cache.py::test_redis_client_lifecycle
failed,tests/test_s6_2_materialized_views.py::test_mv_sales_daily_accessible_by_reporting_user
failed,tests/test_s6_2_materialized_views.py::test_mv_sales_daily_has_unique_index
failed,tests/test_s6_2_materialized_views.py::test_mv_sales_daily_staleness_then_refresh
failed,tests/test_s6_2_materialized_views.py::test_receivables_summary_is_realtime
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_empty_mv_returns_zeros
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_all_receivables
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_kpi_summary
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_time_series
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_reporting_user_access
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_can_select
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_cannot_delete
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_cannot_update
failed,tests/test_u1r1_bootstrap_completeness.py::TestSidebarApiSmoke::test_sidebar_endpoint_returns_200[GET-/api/v1/dashboards/kpi/summary-Dashboard]
failed,tests/test_u6e0_onboarding_status_token_schema.py::test_no_onboarding_status_endpoint_or_runtime_route_added
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_migration_schema_sanity_for_u6f_closeout_gate
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_route_policy_keeps_only_expected_onboarding_auth_routes_public
failed,tests/test_u6h1_tenant_provisioning_service_skeleton.py::test_public_auth_routes_do_not_call_tenant_provisioning
failed,tests/test_u6h2_tenant_provisioning_wholesaler_schema.py::test_public_auth_routes_still_do_not_call_tenant_provisioning_service
failed,tests/test_u6h3_tenant_provisioning_reconcile_cleanup.py::test_public_auth_routes_do_not_call_tenant_provisioning_service
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_branch_changes_only_contract_doc_and_static_test
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_contract_locks_public_endpoint_disclosure_boundary
failed,tests/test_u6i0_owner_credential_setup_contract.py::test_no_runtime_code_files_changed_in_contract_branch
failed,tests/test_u6i1_owner_credential_setup_schema.py::test_alembic_head_is_owner_credential_setup_tokens
failed,tests/test_u6i1_owner_credential_setup_schema.py::test_branch_changes_only_allowed_schema_foundation_files
failed,tests/test_u6i2_owner_credential_setup_token_issue.py::test_no_public_endpoint_or_query_string_token_support
failed,tests/test_u6i6_onboarding_e2e_closeout.py::test_full_owner_onboarding_backend_chain_proves_hash_only_tokens_and_admin_rbac
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_exports_non_200_is_business_not_auth
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_pricing_non_200_is_business_not_auth
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_has_at_least_one_role
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_role_has_all_required_permissions
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_user_exists_and_is_active
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_cash_flow
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_kpi_summary
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_sales_trend
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_exports_status
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_orders_list
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_payments_list
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_pricing_prices
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailer_bindings
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailers_list
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_skus_list
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_stock_list_endpoint
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_decoded_token_is_contextual_not_identity
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_encode_decode_roundtrip
