target,collected,passed,failed,errors,skipped,xfailed,accounting_gap,failed_error_ledger_sha256,artifact_dir
tests/business/test_s4e_stock_reservation_lifecycle_audit.py,12,8,4,0,0,0,0,24ffb112548fc74071497768e366a642f0282c82841c330ad5d3b6ce7c115441,dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4estockreservationlifecycleaudit-py
tests/business/test_s4f_business_invariant_closeout.py,8,4,4,0,0,0,0,e55bd8489d86a6f8879a22fd0c84441a5aa0108a31d5d0a7938ab89aecbd4f15,dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4fbusinessinvariantcloseout-py
tests/test_dc3b_credential_recovery_backend.py,15,15,0,0,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,dc11t0-r2-artifacts/r3-file-reruns/tests-testdc3bcredentialrecoverybackend-py
tests/test_models_structure.py,8,8,0,0,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,dc11t0-r2-artifacts/r3-file-reruns/tests-testmodelsstructure-py
tests/test_payments_schema_contract.py,40,21,13,0,6,0,0,24964231d06a9e908d38810096c073c1a1b8d9e0eaacc00b6e72a795b7c2f875,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py
tests/test_platform_p17dc_backup_migration.py,9,0,9,0,0,0,0,599a6edc220d0c17f4dc9b4f7a347a3fed1f828494ff1498ffdd93fce6962980,dc11t0-r2-artifacts/r3-file-reruns/tests-testplatformp17dcbackupmigration-py
tests/test_platform_p17dc_backup_registry_read.py,26,24,2,0,0,0,0,af109e1f0ecaaa0bb0702f0d1844c21ff2350acf7138a83f90ae599f22bf70de,dc11t0-r2-artifacts/r3-file-reruns/tests-testplatformp17dcbackupregistryread-py
tests/test_platform_p21_durable_approval_adapter_skeleton.py,32,31,1,0,0,0,0,c744c00169ecb39822d935873f800327115b832666d0e76f9eefffc521e9533e,dc11t0-r2-artifacts/r3-file-reruns/tests-testplatformp21durableapprovaladapterskeleton-py
tests/test_platform_p21_durable_approval_migration.py,6,0,6,0,0,0,0,baebe9079d6a9efcf6018b7f9fda9fac356ec382e0953f11f004e4248ea5e147,dc11t0-r2-artifacts/r3-file-reruns/tests-testplatformp21durableapprovalmigration-py
tests/test_s3b_fresh_tenant_live_runtime_proof.py,22,3,1,18,0,0,0,77b906b88318be4a51c0be17039ab13298940f53db542ef7b19dd8135be69d40,dc11t0-r2-artifacts/r3-file-reruns/tests-tests3bfreshtenantliveruntimeproof-py
