status,nodeid,test_file,domain
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_fulfillment_consumes_only_this_order_reservation_and_deducts_on_hand,tests/business/test_s4e_stock_reservation_lifecycle_audit.py,BUSINESS_FINANCE
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_return_restores_on_hand_without_creating_reservation,tests/business/test_s4e_stock_reservation_lifecycle_audit.py,BUSINESS_FINANCE
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_concurrent_fulfill_consumes_reservation_once_and_writes_one_movement,tests/business/test_s4e_stock_reservation_lifecycle_audit.py,BUSINESS_FINANCE
failed,tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_reserve_release_and_consume_movement_boundaries,tests/business/test_s4e_stock_reservation_lifecycle_audit.py,BUSINESS_FINANCE
failed,tests/business/test_s4f_business_invariant_closeout.py::test_pay_preserves_inventory_reservation_and_existing_phase5_ledger_semantics,tests/business/test_s4f_business_invariant_closeout.py,BUSINESS_FINANCE
failed,tests/business/test_s4f_business_invariant_closeout.py::test_fulfill_consumes_owned_reservation_writes_movement_and_duplicate_is_stable,tests/business/test_s4f_business_invariant_closeout.py,BUSINESS_FINANCE
failed,tests/business/test_s4f_business_invariant_closeout.py::test_return_restores_on_hand_without_re_reserving_and_duplicate_is_stable,tests/business/test_s4f_business_invariant_closeout.py,BUSINESS_FINANCE
failed,tests/business/test_s4f_business_invariant_closeout.py::test_cancel_confirmed_releases_reservation_and_paid_or_fulfilled_cancel_is_rejected,tests/business/test_s4f_business_invariant_closeout.py,BUSINESS_FINANCE
failed,tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_token_stored_hash_only_raw_never_persisted,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_with_valid_token_updates_password,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_query_string_token_rejected,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_reset_updates_both_tenant_copies,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_login_succeeds_after_reset_with_multiple_copies,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_no_internal_ids_tokens_hashes_in_public_responses,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_dc3b_credential_recovery_backend.py::test_r1_after_reset_both_copies_login_and_select,tests/test_dc3b_credential_recovery_backend.py,AUTH_ONBOARDING
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_uuid_primary_key,tests/test_models_structure.py,PLATFORM
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_audit_columns,tests/test_models_structure.py,PLATFORM
failed,tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_explicit_tablename,tests/test_models_structure.py,PLATFORM
failed,tests/test_models_structure.py::TestPublicBaseModel::test_public_base_model_has_audit_columns,tests/test_models_structure.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_additions_only_from_base_to_head,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_downgrade_drops_only_p17dc_objects,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_reupgrade_recreates_tables,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_no_backup_objects_in_tenant_schemas,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_upgrade_does_not_create_tenant_schema,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_base_revision_is_020_before_upgrade,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_check_constraints_enforce_honesty,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_policy_uniqueness,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_migration.py::test_latest_completed_excludes_in_progress,tests/test_platform_p17dc_backup_migration.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_empty_tenant_ids,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_read_failure_returns_none,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_no_outcomes_yields_unknown_per_tenant,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_tenant_specific_preferred_over_platform_wide,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_platform_wide_fallback_when_no_tenant_outcome,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_latest_completed_chosen_per_kind,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_policy_tenant_then_platform_default,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_load_map_performs_no_mutations,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_fresh_success_attached_to_registry,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_tenant_specific_wins_over_platform_at_registry,tests/test_platform_p17dc_backup_registry_read.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_retention_and_export_methods_remain_deferred,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_persists_request_audit_idempotency_and_no_execution,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_idempotent_replay_returns_duplicate,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_conflict_on_same_key_different_payload,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_denials_persist_no_request_row,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_decision_persists_checker_audit_idempotency,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_duplicate_decision_same_checker_is_idempotent,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_conflict_checker_flip_is_rejected,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_maker_checker_denies_self_decision_and_persists_nothing,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_reject_is_final_blocks_later_approve,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_source_honesty_blocks_approve_against_unknown_source,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_quorum_met_persists_approved_execution_blocked,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_restart_safety_new_adapter_reads_back,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_audit_sequence_no_monotonic_across_restart,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_get_request_not_found,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_list_requests_filters_and_pagination,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_raw_idempotency_key_never_persisted,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_raw_secret_reason_redacted_before_persistence,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_implementation.py::test_no_execution_invariant_across_lifecycle,tests/test_platform_p21_durable_approval_adapter_implementation.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_adapter_skeleton.py::test_no_new_alembic_migration_chained_on_020,tests/test_platform_p21_durable_approval_adapter_skeleton.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_additions_only_from_base_to_head,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_downgrade_drops_only_p21_objects,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_reupgrade_recreates_tables,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_no_durable_objects_in_tenant_schemas,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_upgrade_does_not_create_tenant_schema,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21_durable_approval_migration.py::test_base_revision_is_019_before_upgrade,tests/test_platform_p21_durable_approval_migration.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_ready_on_migrated_db,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_storage_not_ready_when_schema_missing,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_unavailable_when_db_unreachable,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_shell_schema_passes_table_count,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_create_records_durable_and_no_execution,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_create_persists_to_durable_table,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_read_returns_record,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_read_not_found_returns_none,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_list_filters_and_marks_durable,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestRestartSafety::test_create_survives_new_session,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_duplicate_create_returns_original,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_create_conflict_on_same_key_different_payload,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_create_key_digest_only_no_raw_in_db,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_maker_cannot_self_decide,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_quorum_requires_two_distinct_checkers,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_reject_is_final,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_approve_denied_against_unknown_source,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_payload_approver_mismatch_denied,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestStoreNotReady::test_create_raises_and_writes_no_memory,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestStoreNotReady::test_decision_raises_and_writes_no_memory,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestStoreNotReady::test_read_and_list_raise_when_not_ready,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestStoreNotReady::test_no_silent_memory_fallback_record_returned,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestStoreNotReady::test_not_ready_leaks_no_raw_key_or_reason,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDegradedPath::test_create_degraded_when_op_fails_after_readiness,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestExplicitMemoryMode::test_memory_mode_uses_in_memory_store,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,PLATFORM
failed,tests/test_platform_p21e_durable_approval_runtime_closeout.py::TestRestartSafetyCloseout::test_list_finds_record_after_session_restart,tests/test_platform_p21e_durable_approval_runtime_closeout.py,PLATFORM
failed,tests/test_platform_p21e_durable_approval_runtime_closeout.py::TestRestartSafetyCloseout::test_decision_reaches_quorum_across_restart_boundary,tests/test_platform_p21e_durable_approval_runtime_closeout.py,PLATFORM
failed,tests/test_request_validation.py::TestRequestValidation::test_login_rejects_missing_email,tests/test_request_validation.py,PLATFORM
failed,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveTenantSchemaBootstrapped::test_all_required_tables_present,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_user_exists_and_is_active,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_has_at_least_one_role,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_role_has_all_required_permissions,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_encode_decode_roundtrip,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_decoded_token_is_contextual_not_identity,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_kpi_summary,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_sales_trend,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_cash_flow,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_orders_list,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_skus_list,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_stock_list_endpoint,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_pricing_prices,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_payments_list,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailers_list,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailer_bindings,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_exports_status,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_pricing_non_200_is_business_not_auth,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_exports_non_200_is_business_not_auth,tests/test_s3b_fresh_tenant_live_runtime_proof.py,PLATFORM
failed,tests/test_s3c_cache.py::test_redis_client_lifecycle,tests/test_s3c_cache.py,PLATFORM
failed,tests/test_s3c_self_contained_fresh_tenant_live_proof.py::TestFreshEndpointSmoke::test_dashboard_kpi_summary,tests/test_s3c_self_contained_fresh_tenant_live_proof.py,PLATFORM
error,tests/test_s4_jobs_persistence.py::test_job_persistence_happy_path,tests/test_s4_jobs_persistence.py,PLATFORM
error,tests/test_s4_jobs_persistence.py::test_job_retry_on_failure,tests/test_s4_jobs_persistence.py,PLATFORM
error,tests/test_s4_jobs_persistence.py::test_job_max_retries_reached,tests/test_s4_jobs_persistence.py,PLATFORM
error,tests/test_s4_jobs_persistence.py::test_job_record_persistence,tests/test_s4_jobs_persistence.py,PLATFORM
error,tests/test_s4_jobs_persistence.py::test_multiple_jobs_persistence,tests/test_s4_jobs_persistence.py,PLATFORM
error,tests/test_s5_5_ledger_hardening.py::test_database_blocks_update_operations,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_database_blocks_delete_operations,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_application_rejects_unbalanced_transaction,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_entry_version_column_exists_and_defaults,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
failed,tests/test_s5_5_ledger_hardening.py::test_hash_column_exists_and_nullable,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_balanced_transaction_still_works,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_trigger_function_exists,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_trigger_attached_to_table,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
failed,tests/test_s5_5_ledger_hardening.py::test_zero_amount_entries_allowed_if_balanced,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
error,tests/test_s5_5_ledger_hardening.py::test_high_precision_amounts_balanced_correctly,tests/test_s5_5_ledger_hardening.py,BUSINESS_FINANCE
failed,tests/test_s5_ledger.py::test_post_single_entry,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_post_balanced_transaction,tests/test_s5_ledger.py,BUSINESS_FINANCE
failed,tests/test_s5_ledger.py::test_calculate_account_balance,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_get_entries_for_reference,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_order_confirmation_creates_ledger_entries,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_payment_received_updates_ledger,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_full_order_lifecycle_accounting,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_ledger_immutability,tests/test_s5_ledger.py,BUSINESS_FINANCE
failed,tests/test_s5_ledger.py::test_balance_projection_as_of_date,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_multiple_orders_accounting,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_zero_balance_for_unused_account,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_credit_paid_skips_cash_settlement_ledger,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_default_paid_posts_cash_settlement_ledger,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_ledger.py::test_explicit_cash_paid_posts_cash_settlement,tests/test_s5_ledger.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_happy_path_draft_to_fulfilled,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_illegal_transition_draft_to_fulfilled,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_partially_paid_self_transition_allowed_only_for_payment_context,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_invariant_violation_confirm_zero_total,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_terminal_state_no_transitions,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_void_vs_cancel_rules,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_partial_payment_flow,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_concurrent_transition_with_locking,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_transition_with_updated_by,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_order_not_found,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
error,tests/test_s5_order_state_machine.py::test_cannot_fulfill_unpaid_order,tests/test_s5_order_state_machine.py,BUSINESS_FINANCE
failed,tests/test_s5a_fresh_tenant_real_user_journey_gate.py::test_fresh_tenant_bootstrap_supports_returned_order_status_for_real_return_journey,tests/test_s5a_fresh_tenant_real_user_journey_gate.py,PLATFORM
error,tests/test_s5d4b_settled_cash_payment.py::test_settle_update_leaves_credit_rows_pending,tests/test_s5d4b_settled_cash_payment.py,BUSINESS_FINANCE
error,tests/test_s5d4b_settled_cash_payment.py::test_route_settlement_failure_rolls_back_payment_order_balance_and_ledger,tests/test_s5d4b_settled_cash_payment.py,BUSINESS_FINANCE
