status,path,blob,worktree_sha256,blob_sha256,utf8_ok,bom,nul,crlf_count,lf_count
M,backend/tests/mpango_invariants_r0_support.py,5d31f90e0c79a694aa21331777f77d0946ac63a2,e6c0018900118d592cdf62d74da51365d6fc80e946530105762d4cce2bcf61ba,e6c0018900118d592cdf62d74da51365d6fc80e946530105762d4cce2bcf61ba,True,False,False,0,727
M,backend/tests/test_mpango_invariants_r0_r1_guards.py,ec8121db06274a7d67e8350acd124637d35d5eec,80a957ad8d9f68428deebac05d850750c98ae33658ae227d212663b4182aee22,80a957ad8d9f68428deebac05d850750c98ae33658ae227d212663b4182aee22,True,False,False,0,647
M,backend/tests/test_mpango_mvp_invariants_r0_revocation.py,0f05bf18c891c119e1109fce0a65837089cfa68c,621aa07813147d5ae8a8d7c57a37537f1563ec015445af26cba0e5ac5a66722a,621aa07813147d5ae8a8d7c57a37537f1563ec015445af26cba0e5ac5a66722a,True,False,False,0,1232
M,docs/ai-reports/review/2026-09-08_MPANGO_MVP_INVARIANTS_R1_AUTH_STOCK_RUN_LOG.md,159862dc36e31e938a161d4f54726710f53ee6dd,2ed95c638c92384d08c660635a885f35ed8d96bdcd41862d8c09364b5ce26740,2ed95c638c92384d08c660635a885f35ed8d96bdcd41862d8c09364b5ce26740,True,False,False,0,270
M,docs/ai-reports/review/2026-09-08_MPANGO_MVP_INVARIANTS_R1_AUTH_STOCK_TASK_RECORD.md,dc1862cb3281d956d5575d52be77fb9621a6aa5f,fefa1e6d74c4f5bd0cf3befa311f43034cd582bd90ce64df5f7dbb5fde43ac2b,fefa1e6d74c4f5bd0cf3befa311f43034cd582bd90ce64df5f7dbb5fde43ac2b,True,False,False,0,191
M,docs/ai-reports/review/2026-09-08_MPANGO_MVP_INVARIANTS_R1_AUTH_STOCK_TASK_REPORT.md,e4d3a0ef3d1383807fa1ac0f8a2153113fbf0dd8,4e3f8f141e95c07ddacce84ea2bf43fac1f4be1642e9dda5f413ab1c10018cd0,4e3f8f141e95c07ddacce84ea2bf43fac1f4be1642e9dda5f413ab1c10018cd0,True,False,False,0,137
A,docs/ai-reports/review/mpango-mvp-invariants-r1-r1-2026-09-08/EXPECTED_SET.md,df5270714ccc7852ae310f23d3d54cb6cbd16eb8,c32a122248fb2f7aba9863f10ae79b60fbb207c014921426048ba93c8edee17d,c32a122248fb2f7aba9863f10ae79b60fbb207c014921426048ba93c8edee17d,True,False,False,0,103
A,docs/ai-reports/review/mpango-mvp-invariants-r1-r1-2026-09-08/FILES_MANIFEST.md,0a94432fc80281431ed66db754990508c951b1a2,fa2ea42af99ec91f2106f5cdcd4d5dbdf4badcf87c654318d3b489d172386fe8,fa2ea42af99ec91f2106f5cdcd4d5dbdf4badcf87c654318d3b489d172386fe8,True,False,False,0,64
A,docs/ai-reports/review/mpango-mvp-invariants-r1-r1-2026-09-08/INTEGRITY_APPENDIX.md,4ffd76790558dae8fc784466b64ca39827e6320b,35dd7c2e4bbd6c588f8c8738e0c94a7f8a3450ba77967ccccf264ee6ad3415b6,35dd7c2e4bbd6c588f8c8738e0c94a7f8a3450ba77967ccccf264ee6ad3415b6,True,False,False,0,94
A,docs/ai-reports/review/mpango-mvp-invariants-r1-r1-2026-09-08/NODE_RECONCILIATION.md,a4073b7e0b20d9f25ae9ab149d78a5b61f086a59,cb1d494945c71895e1d62136d16319026301e33a5ddc9a34938b0a40903e801e,cb1d494945c71895e1d62136d16319026301e33a5ddc9a34938b0a40903e801e,True,False,False,0,85
