node_id,outcome,duration_s,nodeid
1,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney01::test_navigate_to_invitations[chromium]
2,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney02::test_w1_creates_invitation[chromium]
3,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney03::test_invitation_link_has_code[chromium]
4,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney04::test_shows_supplier_identity[chromium]
5,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney05::test_registration_form_requires_email[chromium]
6,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney06::test_full_registration_flow[chromium]
7,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney07::test_portal_handoff_includes_wholesaler_code[chromium]
8,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney08::test_manual_code_entry_full_flow[chromium]
9,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney09::test_unknown_code_neutral_failure[chromium]
10,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney09::test_malformed_code_neutral_failure[chromium]
11,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney09::test_unknown_code_no_registration[chromium]
12,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney10::test_already_registered_idempotent[chromium]
13,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney11::test_public_endpoints_ignore_auth_header[chromium]
14,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney12::test_duplicate_registration_idempotent[chromium]
15,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney13::test_w1_retailer_cannot_access_w2[chromium]
16,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney14::test_deactivation_breaks_retailer_login[chromium]
17,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney15::test_supplier_lookup_at_390px[chromium]
18,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney15::test_retailer_join_page_at_390px[chromium]
19,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney15::test_retailer_login_page_at_390px[chromium]
20,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney16::test_no_secrets_in_api_error_responses[chromium]
21,passed,0.00,tests/test_dc12r1_v2_browser_final.py::TestJourney16::test_no_secrets_in_console[chromium]
