page,cf_id,cf_label,overflow_delta,client_width,scroll_width,step_reduction,step_pct_of_baseline,fixed
dashboard,baseline,baseline,374,390,764,,,FALSE
dashboard,CF1,hide_sidebar,374,390,764,0,0.0,FALSE
dashboard,CF2,remove_ml64,118,390,508,256,68.4,FALSE
dashboard,CF3,sidebar_hidden+ml64_removed,118,390,508,0,0.0,FALSE
dashboard,CF4,cf3+header_allow_shrink,118,390,508,0,0.0,FALSE
dashboard,CF5,cf4+content_minWidth0,94,390,484,24,6.4,FALSE
dashboard,CF6,cf5+header_minWidth0,94,390,484,0,0.0,FALSE
dashboard,CF7,cf6+header_children_minWidth0,0,390,390,94,25.1,TRUE
dashboard,CF8,cf7+header_px2,0,390,390,0,0.0,TRUE
dashboard,CF9,cf8+main_p3,0,390,390,0,0.0,TRUE
dashboard,CF10,cf9+badge_ellipsis,0,390,390,0,0.0,TRUE
dashboard,CF11,full_nonclip_fix,0,390,390,0,0.0,TRUE
orders,baseline,baseline,346,390,736,,,FALSE
orders,CF1,hide_sidebar,346,390,736,0,0.0,FALSE
orders,CF2,remove_ml64,90,390,480,256,74.0,FALSE
orders,CF3,sidebar_hidden+ml64_removed,90,390,480,0,0.0,FALSE
orders,CF4,cf3+header_allow_shrink,90,390,480,0,0.0,FALSE
orders,CF5,cf4+content_minWidth0,66,390,456,24,6.9,FALSE
orders,CF6,cf5+header_minWidth0,66,390,456,0,0.0,FALSE
orders,CF7,cf6+header_children_minWidth0,0,390,390,66,19.1,TRUE
orders,CF8,cf7+header_px2,0,390,390,0,0.0,TRUE
orders,CF9,cf8+main_p3,0,390,390,0,0.0,TRUE
orders,CF10,cf9+badge_ellipsis,0,390,390,0,0.0,TRUE
orders,CF11,full_nonclip_fix,0,390,390,0,0.0,TRUE
